DiasSemCompras;SemanaDoMes;QtdUltimaCompra;CompraRealizada
-139;3;13;SIM
-49;4;1;SIM
-47;4;0;NÃO
-46;4;0;NÃO
-42;3;0;NÃO
-42;4;3;SIM
-40;2;0;NÃO
-40;4;7;SIM
-39;3;0;NÃO
-39;4;0;NÃO
-38;4;0;NÃO
-37;3;0;NÃO
-37;4;7;SIM
-36;3;0;NÃO
-36;4;2;SIM
-35;2;0;SIM
-35;3;0;SIM
-35;4;0;NÃO
-34;3;0;NÃO
-34;4;0;NÃO
-33;2;0;NÃO
-33;3;0;NÃO
-33;4;4;SIM
-32;4;0;NÃO
-31;4;0;NÃO
-30;1;7;SIM
-30;2;6;SIM
-30;3;5;SIM
-30;4;5;SIM
-30;5;8;SIM
-29;3;0;NÃO
-29;4;0;NÃO
-28;1;13;SIM
-28;2;8;SIM
-28;3;1;SIM
-28;4;0;SIM
-27;2;7;SIM
-27;3;0;NÃO
-27;4;8;SIM
-26;1;2;SIM
-26;3;1;SIM
-26;4;3;SIM
-25;1;0;NÃO
-25;2;8;SIM
-25;3;0;NÃO
-25;4;0;NÃO
-24;1;14;SIM
-24;3;0;NÃO
-24;4;0;NÃO
-23;1;9;SIM
-23;2;4;SIM
-23;3;0;NÃO
-22;1;5;SIM
-22;2;2;SIM
-22;3;0;NÃO
-22;4;1;SIM
-21;1;3;SIM
-21;2;1;SIM
-21;3;0;SIM
-21;4;1;SIM
-20;1;2;SIM
-20;2;3;SIM
-20;3;0;NÃO
-20;4;6;SIM
-19;1;0;NÃO
-19;2;0;NÃO
-19;3;0;NÃO
-19;4;3;SIM
-18;1;7;SIM
-18;2;0;NÃO
-18;3;0;NÃO
-18;4;0;NÃO
-17;1;2;SIM
-17;2;16;SIM
-17;3;0;NÃO
-17;4;7;SIM
-16;1;4;SIM
-16;2;0;NÃO
-16;3;0;NÃO
-16;4;6;SIM
-15;1;5;SIM
-15;2;11;SIM
-15;3;5;SIM
-15;4;7;SIM
-14;1;7;SIM
-14;2;6;SIM
-14;3;6;SIM
-14;4;5;SIM
-13;1;5;SIM
-13;2;7;SIM
-13;3;1;SIM
-13;4;4;SIM
-12;1;4;SIM
-12;2;3;SIM
-12;3;5;SIM
-12;4;3;SIM
-11;1;7;SIM
-11;2;7;SIM
-11;3;0;SIM
-11;4;4;SIM
-10;1;3;SIM
-10;2;0;NÃO
-10;3;1;SIM
-10;4;4;SIM
-9;1;10;SIM
-9;3;4;SIM
-9;4;4;SIM
-8;1;7;SIM
-8;2;3;SIM
-8;3;6;SIM
-8;4;7;SIM
-7;1;2;SIM
-7;2;1;SIM
-7;3;3;SIM
-7;4;2;SIM
-6;1;5;SIM
-6;2;1;SIM
-6;3;1;SIM
-6;4;3;SIM
-5;1;9;SIM
-5;2;1;SIM
-5;3;5;SIM
-5;4;3;SIM
-4;1;7;SIM
-4;2;11;SIM
-4;3;2;SIM
-4;4;3;SIM
-3;1;10;SIM
-3;2;5;SIM
-3;3;2;SIM
-3;4;8;SIM
-2;1;2;SIM
-2;2;4;SIM
-2;3;8;SIM
-2;4;9;SIM
-1;1;2;SIM
-1;2;2;SIM
-1;3;4;SIM
-1;4;7;SIM
