QtdDiasSemCompras;CamprasMedia;CamprasMediaMesAtual;UltimaCompraCancelada;isPositivada
4;0.333333;5;0;0
55;0.333333;0;0;0
22;0.333333;3;1;1
63;0.333333;0;0;0
5;0.333333;0;1;0
12;0.333333;4;0;0
72;0.333333;0;0;0
47;0.333333;0;0;0
12;0.333333;6;0;0
14;0.333333;0;1;0
14;0.333333;3;0;0
9;0.333333;0;1;0
7;0.333333;6;0;0
12;0.333333;0;1;0
77;0.333333;0;0;0
6;0.333333;0;1;0
5;0.333333;6;0;0
66;0.666666;8;0;1
17;0.666666;3;0;0
69;0.666666;0;0;0
46;0.666666;0;0;0
11;0.666666;5;0;0
49;0.666666;0;0;0
70;0.666666;0;0;0
22;0.666666;4;1;0
53;0.666666;0;1;0
10;0.666666;4;0;0
16;0.666666;0;1;0
7;0.666666;1;0;0
5;0.666666;4;0;0
67;0.666666;0;0;0
49;0.666666;6;0;1
49;0.666666;4;1;1
77;0.666666;0;0;0
86;0.666666;0;0;0
14;0.666666;3;0;0
56;0.666666;2;1;0
9;0.666666;4;1;1
16;0.666666;7;0;0
7;0.666666;6;0;0
54;0.666666;5;0;1
6;0.666666;4;0;0
39;0.666666;0;0;0
63;0.666666;9;0;1
7;0.666666;0;1;0
69;0.666666;0;1;0
62;0.666666;0;1;0
48;0.666666;0;0;0
4;0.666666;7;0;0
78;0.666666;0;0;0
71;0.666666;0;0;0
12;0.666666;3;0;0
65;0.666666;0;0;0
21;0.666666;4;0;0
14;0.666666;4;0;0
1;0.666666;6;1;1
17;0.666666;5;0;0
21;0.666666;3;0;0
26;0.666666;2;1;0
63;0.666666;0;0;0
42;0.666666;3;0;1
22;0.666666;2;1;0
66;0.666666;0;0;0
28;0.666666;0;1;0
55;0.666666;0;1;0
9;0.666666;0;1;0
53;0.666666;0;0;0
13;0.666666;2;1;0
61;0.666666;5;0;1
64;0.666666;0;0;0
7;0.666666;3;0;0
30;0.666666;2;1;0
67;0.666666;4;1;0
7;0.666666;10;0;0
8;0.666666;0;1;0
54;0.666666;0;0;0
68;0.666666;0;0;0
83;0.666666;0;0;0
51;0.666666;5;0;1
61;0.666666;0;0;0
6;0.666666;6;0;0
14;0.666666;6;1;0
3;0.666666;1;1;1
73;0.666666;0;0;0
62;0.666666;0;0;0
48;0.666666;0;1;0
11;0.666666;4;0;0
58;0.666666;0;0;0
9;0.666666;3;0;0
51;0.666666;0;0;0
33;0.666666;0;0;0
47;0.666666;0;0;0
76;0.666666;0;0;0
34;0.666666;0;0;0
63;0.666666;4;0;1
60;0.666666;0;0;0
61;0.666666;5;1;0
21;0.666666;6;1;0
8;0.666666;2;1;1
42;0.666666;0;0;0
46;0.666666;4;0;1
4;0.666666;2;0;0
12;0.666666;4;1;1
9;0.666666;8;0;0
59;1.000000;0;0;0
67;1.000000;0;0;0
61;1.000000;3;1;0
6;1.000000;5;0;0
66;1.000000;7;0;1
10;1.000000;5;0;0
8;1.000000;3;0;0
41;1.000000;0;0;0
34;1.000000;0;0;0
41;1.000000;6;0;1
6;1.000000;10;0;0
55;1.000000;0;0;0
5;1.000000;5;0;0
30;1.000000;2;1;1
17;1.000000;6;0;0
21;1.000000;8;1;0
13;1.000000;5;0;0
52;1.000000;0;0;0
42;1.000000;11;0;1
60;1.000000;0;0;0
14;1.000000;8;0;0
68;1.000000;0;1;0
77;1.000000;0;1;0
21;1.000000;5;0;1
67;1.000000;3;1;0
20;1.000000;2;0;0
69;1.000000;0;1;0
5;1.000000;9;0;0
26;1.000000;0;1;0
1;1.000000;13;1;1
10;1.000000;3;0;0
64;1.000000;0;0;0
22;1.000000;3;0;1
44;1.000000;0;0;0
21;1.000000;7;0;0
46;1.000000;4;1;1
50;1.000000;0;0;0
5;1.000000;2;0;0
6;1.000000;3;0;0
7;1.000000;7;0;0
12;1.000000;7;0;0
3;1.000000;4;0;0
6;1.000000;18;0;0
16;1.000000;4;0;0
17;1.000000;5;0;0
49;1.000000;0;1;0
49;1.000000;7;0;1
13;1.000000;16;0;0
56;1.000000;0;0;0
21;1.000000;4;0;0
27;1.000000;0;1;0
12;1.000000;11;0;0
54;1.000000;0;0;0
7;1.000000;3;0;0
65;1.000000;0;0;0
12;1.000000;2;0;0
42;1.000000;4;0;1
51;1.000000;0;0;0
21;1.000000;11;0;0
8;1.000000;4;0;0
70;1.000000;1;1;0
48;1.000000;0;0;0
13;1.000000;4;0;0
3;1.000000;0;1;0
46;1.000000;0;0;0
7;1.000000;5;0;1
15;1.000000;3;0;0
8;1.000000;10;0;0
63;1.000000;0;1;0
30;1.000000;0;1;0
22;1.000000;0;1;0
12;1.000000;6;0;0
14;1.000000;0;1;0
5;1.000000;8;0;0
14;1.000000;7;0;0
7;1.000000;18;0;0
1;1.000000;9;0;0
10;1.000000;4;0;0
84;1.000000;3;0;1
70;1.000000;3;0;1
66;1.000000;0;0;0
12;1.000000;3;1;1
12;1.000000;10;0;1
24;1.000000;20;0;0
69;1.000000;3;0;1
73;1.000000;7;1;1
40;1.000000;0;0;0
6;1.000000;7;0;0
53;1.000000;0;0;0
39;1.000000;0;0;0
71;1.000000;7;1;1
29;1.000000;0;1;0
29;1.000000;5;1;1
51;1.000000;8;1;0
29;1.000000;9;1;1
14;1.000000;3;0;0
21;1.000000;3;0;0
9;1.000000;3;0;0
41;1.000000;3;0;1
42;1.000000;0;0;0
13;1.000000;7;0;0
5;1.000000;8;1;1
7;1.000000;10;0;0
7;1.000000;11;0;0
3;1.000000;5;0;0
7;1.000000;4;0;0
58;1.000000;0;0;0
48;1.000000;3;1;0
6;1.000000;8;0;0
11;1.000000;7;0;0
21;1.000000;6;0;0
84;1.000000;0;0;0
57;1.000000;0;0;0
19;1.000000;6;1;1
5;1.000000;0;1;0
5;1.000000;11;1;0
28;1.000000;0;1;0
13;1.000000;3;0;0
42;1.000000;3;0;1
43;1.000000;0;0;0
14;1.000000;6;0;0
6;1.000000;0;1;0
12;1.000000;3;0;0
14;1.000000;14;1;1
21;1.000000;10;0;0
49;1.000000;0;0;0
21;1.000000;3;0;1
63;1.000000;4;0;1
9;1.000000;0;1;0
7;1.000000;0;1;0
66;1.000000;3;0;1
67;1.000000;4;0;1
76;1.000000;0;0;0
5;1.000000;7;0;0
40;1.000000;2;1;0
62;1.000000;0;0;0
7;1.000000;6;0;0
20;1.000000;5;0;0
14;1.000000;14;0;0
8;1.000000;0;1;0
21;1.000000;18;0;0
3;1.000000;3;0;0
9;1.000000;4;0;0
4;1.000000;0;1;0
7;1.000000;16;0;0
75;1.000000;0;0;0
7;1.000000;9;0;0
29;1.000000;3;1;0
77;1.000000;0;0;0
12;1.000000;15;0;0
1;1.000000;0;1;0
5;1.000000;3;0;0
4;1.000000;3;0;0
5;1.000000;15;0;0
78;1.000000;0;0;0
73;1.000000;0;0;0
21;1.000000;5;0;0
72;1.000000;0;0;0
15;1.000000;5;0;0
13;1.000000;6;0;0
63;1.000000;6;1;1
35;1.000000;5;0;1
68;1.000000;0;0;0
14;1.000000;5;0;0
6;1.000000;6;0;0
42;1.000000;8;1;1
8;1.000000;5;0;0
69;1.000000;0;0;0
61;1.000000;0;0;0
67;1.000000;5;1;0
12;1.000000;7;1;0
16;1.000000;0;1;0
12;1.000000;0;1;0
21;1.000000;0;1;0
19;1.000000;0;1;0
84;1.000000;0;1;0
36;1.000000;8;0;1
14;1.000000;10;0;0
47;1.000000;0;0;0
7;1.000000;3;0;1
70;1.000000;0;0;0
14;1.000000;4;0;0
54;1.000000;6;0;1
